index,category,filename,title,overall_description,content_description,content_long_description,target_description,target_long_description,target_synonyms,content_synonyms,keyword,summary
0,기타지원,기타지원_01.html,사회서비스원 긴급돌봄 사업,Emergency care service provided by the Social Service Center,Matching and providing emergency care services to selected individuals,"The Social Service Center matches and provides emergency care services to individuals who have been selected by the local government or the Emergency Care Support Team. The service duration varies depending on the situation, with a maximum of 7 days for COVID-19 emergency care and 100 hours (within 30 days) for non-COVID-19 emergency care.",Individuals in need of emergency care due to COVID-19 or other sudden situations,"The service targets individuals who require care but have no caregiver available due to COVID-19 infection, self-isolation, or the suspension of existing care services. It also includes individuals who need emergency care due to sudden illness, accidents, temporary physical impairment, or other crisis situations.","{'COVID-19': ['coronavirus', 'pandemic', 'virus'], 'emergency care': ['urgent care', 'immediate assistance', 'crisis support'], 'caregiver': ['caretaker', 'care provider', 'support person'], 'infection': ['contagion', 'disease', 'viral spread'], 'self-isolation': ['quarantine', 'isolation', 'seclusion'], 'sudden illness': ['acute illness', 'unexpected sickness', 'rapid-onset disease'], 'accidents': ['unforeseen events', 'mishaps', 'unfortunate incidents'], 'physical impairment': ['temporary disability', 'limited mobility', 'functional limitation'], 'crisis situations': ['emergency scenarios', 'critical circumstances', 'disaster situations']}","{'COVID-19 emergency care': ['coronavirus emergency care', 'pandemic emergency care', 'virus-related emergency care'], 'non-COVID-19 emergency care': ['non-coronavirus emergency care', 'non-pandemic emergency care', 'non-virus-related emergency care'], 'medical institution': ['healthcare facility', 'hospital', 'clinic'], 'temporary support': ['short-term assistance', 'immediate aid', 'transient help'], 'crisis support': ['emergency assistance', 'critical aid', 'disaster relief'], 'welfare facility': ['social service center', 'care facility', 'support institution'], 'matching': ['pairing', 'connecting', 'linking'], 'service duration': ['service period', 'care duration', 'support timeframe'], 'emergency situation': ['urgent circumstance', 'critical condition', 'crisis scenario'], 'care service': ['support service', 'assistance program', 'aid provision']}","['사회서비스원', '사회복지', '긴급돌봄', '코로나19', '아동돌봄', '대상 구분', '돌봄지원대상', '돌봄이 필요한 층', '긴급한 돌봄', '코로나19 긴급돌봄', '가족돌봄', '보호자 부재', '화이자 백신 접종', '긴급돌봄지원단', '종사자', '인력공백', '보건복지부', '의료기관', '생활치료센터', '입소기간', '자가격리', '갑작스러운 질병', '재가돌봄', '이동지원', '돌봄서비스', '장애등급', '장기요양등급', '돌봄제도권 서비스', '대기', '위기상황', '일시적 돌봄', '가족의무자 부재', '서비스 선정', '시도지사', '시군구청장', '코로나19 확산', '추경 지원', '사회복지센터', '업무 수행', '대책 마련', '지역사회']","사회서비스원 긴급돌봄 사업은 코로나19로 인한 돌봄의 필요성과 부재를 해소하기 위해 실시되는 프로그램입니다. 이 프로그램은 확진으로 가정 내 돌봐줄 사람이 부재한 경우, 코로나19로 인한 다른 돌봄서비스가 중단된 경우, 사회복지시설 내 돌봄 인력 공백이 생긴 경우 등에 긴급한 돌봄을 제공합니다."
1,기타지원,기타지원_02.html,사회서비스원 종합재가센터,The Social Service Center provides comprehensive home care services.,"The service includes long-term care services such as home care, nursing, bathing, and day and night protection for the elderly, children, and people with disabilities.","The Social Service Center offers a range of long-term care services tailored to the needs of each community. These services include home care, nursing, bathing, day and night protection for the elderly, as well as support for activities for people with disabilities and customized care for the elderly.","The service is available for children, the elderly, and people with disabilities who require home care and emergency care.","The Social Service Center provides home care and emergency care services for children, the elderly, and people with disabilities who are in need of assistance. These services are designed to meet the specific needs of each individual.","{'children': ['kids', 'youth', 'minors'], 'elderly': ['seniors', 'older adults', 'aged individuals'], 'people with disabilities': ['disabled individuals', 'individuals with special needs', 'persons with disabilities'], 'home care': ['in-home care', 'domestic care', 'residential care'], 'emergency care': ['urgent care', 'crisis care', 'immediate assistance']}","{'home care': ['in-home care', 'domestic care', 'residential care'], 'nursing': ['caregiving', 'medical assistance', 'patient care'], 'bathing': ['personal hygiene', 'showering', 'cleansing'], 'day and night protection': ['24/7 care', 'round-the-clock assistance', 'continuous support'], 'activities for people with disabilities': [""disabled individuals' activities"", 'engagement programs for persons with disabilities', 'supportive programs for individuals with special needs'], 'customized care for the elderly': ['tailored care for seniors', 'personalized assistance for older adults', 'individualized support for aged individuals']}","['방문요양', '방문간호', '방문목욕', '주야간보호', '도움', '장애인활동지원', '장애인서비스', '장애인복지', '장애인지원', '환경제공', '노인맞춤돌봄', '노인서비스', '노인복지', '노인지원', '생활도움', '틈새돌봄', '긴급복봄', '긴급시책', '긴급돌봄서비스', '돌봄지원', '재가의료급여', '의료복지', '의료지원', '급여규정', '의료비', '방문목욕', '목욕서비스', '목욕관리', '목욕도움', '온천', '이동지원(사랑의열매)', '사랑의 열매', '이동지원사업', '운영지원', '이동서비스', '가사간병', '간병서비스', '일상도움', '위생관리', '가사지원', '장애인활동지원', '장애인서비스', '장애인복지', '장애인지원', '환경제공', '긴급틈새돌봄', '긴급복봄', '긴급시책', '긴급돌봄서비스', '돌봄지원']","사회서비스원 종합재가센터는 아동, 노인, 장애인과 같은 방문요양이나 긴급돌봄을 필요로 하는 대상에게 다양한 돌봄 서비스를 제공합니다. 지역별로 사업내용과 제공인력 요건 등이 다를 수 있으며, 센터에서 상담 및 신청할 수 있습니다."
2,기타지원,기타지원_03.html,가족센터 운영,The service provided is the operation of a family center.,"The service includes family education, family counseling, and family cultural programs.","The family education component of the service offers education for couples in different stages of life, such as newlyweds, middle-aged couples, and elderly couples, as well as parenting education. The family counseling component aims to resolve conflicts within families through couples counseling, parent-child counseling, and pre- and post-divorce counseling. The family cultural programs consist of events like Family Love Day, traditional cultural experience classes, and campaigns for healthy families.",The service is targeted towards all families in need of assistance in their home life.,"The service is available for all families who require help in their home life, regardless of their specific circumstances. It is designed to support families who may be facing challenges or difficulties in their relationships or parenting. The service is open to families of all sizes and compositions, including nuclear families, extended families, and single-parent families.","{'families': ['households', 'kinship groups', 'domestic units'], 'assistance': ['support', 'aid', 'help'], 'home life': ['domestic life', 'family life', 'household affairs'], 'challenges': ['obstacles', 'difficulties', 'problems'], 'difficulties': ['challenges', 'issues', 'problems'], 'relationships': ['connections', 'interactions', 'bonds'], 'parenting': ['child-rearing', 'raising children', 'nurturing'], 'nuclear families': ['traditional families', 'core families', 'basic families'], 'extended families': ['joint families', 'multigenerational families', 'large families'], 'single-parent families': ['one-parent families', 'sole-parent families', 'uniparental families']}","{'family education': ['parenting education', 'family learning', 'parent education'], 'family counseling': ['family therapy', 'family guidance', 'family support'], 'family cultural programs': ['family events', 'family activities', 'family enrichment programs'], 'couples education': ['marriage education', 'relationship education', 'spousal education'], 'parenting education': ['child-rearing education', 'parenting classes', 'parenting workshops'], 'conflict resolution': ['dispute resolution', 'problem-solving', 'mediation'], 'couples counseling': ['marriage counseling', 'relationship counseling', 'spousal counseling'], 'parent-child counseling': ['family therapy', 'parent-child therapy', 'parent-child guidance'], 'pre- and post-divorce counseling': ['pre-divorce therapy', 'post-divorce therapy', 'divorce counseling'], 'family events': ['family activities', 'family gatherings', 'family occasions']}","['가족센터', '가정', '도움', '지원', '가족교육', '가족상담', '생애주기별', '신혼기', '중년기', '노년기', '부부교육', '부모교육', '부부상담', '갈등해결', '부모-자녀상담', '이혼전후상담', '가족간갈등', '가족사랑의날', '행사', '전통문화체험교실', '건강가정캠페인', '가정생활', '안정', '가정환경개선', '가정통합지원', '지원내용', '가족교육', '가족상담', '가족문화프로그램', '내용구분', '대상', '가정생활도움', '도움필요', '유사어', '서비스', '지원기관', '도움제공', '보호기관', '가정복지', '전화번호', '연락처', '문의', '가족센터연감', '가정상담전화', '온라인신청', '신청방법', '가족넷사이트', '온라인지원', '인터넷접수']","가족센터는 도움이 필요한 모든 가정에게 지원을 제공하는 서비스입니다. 가족교육, 가족상담 및 가족문화 프로그램을 통해 가정생활의 안정을 도모합니다."
3,기타지원,기타지원_04.html,가족상담전화,"The service provides family counseling through phone, online, and KakaoTalk.","The service offers counseling on pregnancy and childbirth conflicts, child support, single-parent family policies, and family conflict resolution.",The service provides psychological and emotional support as well as information on pregnancy and childbirth conflicts. It also offers counseling on securing child support and provides information on single-parent family policies and family conflict resolution.,"The service is available for all families, including unmarried mothers and single-parent families.","The service is open to all families, regardless of their marital status. It specifically caters to unmarried mothers, single-parent families, and any other type of family in need of support.","{'unmarried mothers': ['unwed mothers', 'single mothers', 'mothers without a spouse'], 'single-parent families': ['one-parent families', 'families headed by a single parent', 'families with only one parent'], 'family support': ['support for families', 'assistance for families', 'help for families']}","{'pregnancy and childbirth conflicts': ['pregnancy and birth disputes', 'conflicts related to pregnancy and childbirth', 'issues with pregnancy and childbirth'], 'child support': ['financial support for children', 'support for raising children', 'assistance with child expenses'], 'single-parent family policies': ['policies for families with one parent', 'support programs for single-parent families', 'government initiatives for single-parent families'], 'family conflict resolution': ['resolving family conflicts', 'managing family disputes', 'finding solutions to family problems']}","['가족상담전화', '가족상담', '미혼모부', '한부모', '심리지원', '정보제공', '임신 출산갈등상담', '임신갈등', '출산갈림길', '심리정서지원', '정보제공', '양육비상담', '양육비이행', '양육비지원', '양육비확보', '양육비정보', '한부모가족상담', '한부모가족정책', '한부모가족지원', '한부모정보', '지원서비스', '가족서비스상담', '가족갈등', '심리정서지원', '가족정책', '정보제공', '대상 미혼모부', '미혼모', '미혼모부 상담', '미혼모 지원', '심리지원', '대상 한부모', '한부모가족', '한부모기념일', '한부모지원', '한부모가족 정보', '전화상담', '전화상담 신청', '전화상담방법', '상담신청', '상담전화', '온라인상담', '온라인상담신청', '온라인상담방법', '온라인상담문의', '온라인상담센터', '카카오톡', '카카오톡 상담', '카카오톡 문의', '카카오톡 채팅상담', '카카오톡 상담방법']","가족상담전화는 대상인 미혼모부, 한부모 등 모든 가족을 대상으로 하며, 임신 및 출산 갈등 상담, 양육비 이행확보지원, 한부모 가족 정책 및 지원서비스 정보제공, 가족 갈등 심리정서지원과 가족정책 정보제공 등의 다양한 내용을 다루고 있습니다. 전화상담, 온라인상담, 카카오톡 채널을 통해 문의할 수 있으며, 자세한 사항은 가족상담전화(☎1644-6621)로 문의하시기 바랍니다."
4,기타지원,기타지원_05.html,청소년한부모 등 자립지원패키지,The service provides support for teenage single parents and other independent individuals.,The service offers comprehensive support for parenting and independence through case management.,"The service includes providing information and assistance in various areas such as parenting, employment, and housing support. It also offers emotional support through counseling, therapy, mentoring, and financial assistance for childcare and medical expenses.",The service is targeted towards teenage single parents with a household income below 72% of the median income.,The service is specifically for unmarried mothers or fathers who are not living in welfare facilities for single-parent families and have no marriage or household records. The service also supports parents with children under the age of 24.,"{'teenage single parents': ['adolescent single parents', 'young single parents', 'single parents in their teens'], 'independent individuals': ['self-reliant individuals', 'autonomous individuals', 'self-sufficient individuals'], 'household income': ['family income', 'household earnings', 'income level'], 'unmarried mothers': ['single mothers', 'unwed mothers', 'never-married mothers'], 'unmarried fathers': ['single fathers', 'unwed fathers', 'never-married fathers'], 'welfare facilities': ['social welfare institutions', 'welfare centers', 'support facilities'], 'marriage records': ['marital records', 'wedding records', 'matrimony records'], 'household records': ['family records', 'residential records', 'domicile records'], 'children under 24': ['youths under 24', 'adolescents under 24', 'minors under 24']}","{'case management': ['case coordination', 'case supervision', 'case planning'], 'parenting support': ['child-rearing support', 'caregiving support', 'family support'], 'employment support': ['job assistance', 'workforce support', 'career guidance'], 'housing support': ['accommodation assistance', 'shelter support', 'residential aid'], 'counseling': ['therapy', 'guidance', 'advice'], 'therapy': ['psychotherapy', 'cognitive-behavioral therapy', 'talk therapy'], 'mentoring': ['coaching', 'guidance', 'support'], 'financial assistance': ['financial aid', 'monetary support', 'economic assistance'], 'childcare': ['childcare services', 'babysitting', 'nurturing'], 'medical expenses': ['healthcare costs', 'medical bills', 'medical fees']}","['청소년한부모', '청소년돌봄지원', '양육비지원', '주거지원', '취업지원', '자료관리', '미혼모·부', '임신출산비지원', '건강관리', '직업훈련', '정서지원', '자립지원패키지', '생활지원서비스', '자립지원서비스', '기타지원서비스', '정부서비스연계', '사례관리', '한부모가족복지시설', '미혼모', '생활지원', '자립지원', '서비스정보', '서비스연계', '필요한서비스', '임신출산의료비', '건강관리', '돌봄서비스', '양육용품', '병원비지원', '생활지원', '임신출산의료비지원', '건강관리서비스', '돌봄지원서비스', '양육서비스', '병원비지원', '자립지원', '주거지원서비스', '취업지원서비스', '직업훈련서비스', '양육비이행지원', '자산관리지원', '기타지원', '서비스정보안내', '지역사회자원활용', '자조모임지원', '자산관리', '정서지원', '상담', '전문심리치료', '멘토링', '자조모임지원', '자립성장', '무료상담지원', '양육비이행지원', '정부서비스연계', '임신출산의료비', '건강관리', '주거지원', '취업지원']","청소년한부모 및 미혼모·부의 양육·자립을 지원하기 위해 사례관리와 종합적인 서비스를 제공하는 자립지원패키지입니다. 가구 소득과 혼인여부 등에 따른 자격 요건이 있으며, 주거, 취업, 의료비 등 다양한 지원 사항을 포함합니다."
5,기타지원,기타지원_06.html,한부모가족 아동 양육비 지원,The service provides financial support for single-parent families raising children.,The service includes financial support for child-rearing expenses and education expenses.,"The service provides a monthly payment of 200,000 won per child under 18 years old for child-rearing expenses. Additional payments are given to single-parent families with children under 5 years old, unmarried single-parent families over 35 years old, and young single-parent families with children under 5 years old or between 6 and 18 years old. The service also provides financial support for school supplies and a monthly living allowance for low-income single-parent families in welfare facilities.",The service is targeted towards single-parent families and bereaved families raising children under 18 years old.,"The service is available for single-parent families and bereaved families with a total income below 60% of the median income (2-person standard: 2,073,693 won). The service also requires the issuance of a single-parent family certificate for those with a total income below 60% of the median income. The children must be under 18 years old (or under 22 years old if still in school).","{'single-parent families': ['one-parent families', 'sole-parent families', 'unmarried parent families'], 'bereaved families': ['widowed families', 'grieving families', 'orphaned families'], 'children': ['kids', 'youth', 'offspring'], 'total income': ['combined income', 'overall earnings', 'household income'], 'median income': ['middle income', 'average income', 'typical earnings'], 'single-parent family certificate': ['sole-parent family certificate', 'unmarried parent family certificate', 'one-parent family certificate'], '18 years old': ['underage', 'minor', 'teenager'], '22 years old': ['young adult', 'college-age', 'early twenties'], 'school': ['education', 'learning', 'academic']}","{'child-rearing expenses': ['childcare costs', 'raising children expenses', 'parenting expenses'], 'education expenses': ['school expenses', 'educational costs', 'learning expenses'], 'monthly payment': ['monthly allowance', 'regular payment', 'fixed payment'], 'additional payments': ['extra payments', 'supplementary payments', 'added allowances'], 'school supplies': ['educational materials', 'stationery', 'learning tools'], 'living allowance': ['monthly stipend', 'financial support', 'subsistence allowance'], 'low-income': ['poor', 'underprivileged', 'economically disadvantaged'], 'welfare facilities': ['social welfare institutions', 'welfare centers', 'supportive housing']}","['한부모가족 아동 양육비 지원', '아동양육비 지원', '교육비 지원', '대상 소득인정액', '한부모가족증명서 발급', '만 18세 미만 아동', '취학 시 만 22세', '조손가족', '지원내용', '학용품비', '월 20만 원 지급', '생계급여', '내용', '문의 가족상담전화', '저소득 한부모가족', '복지로 온라인 신청', '주민센터 방문 신청', '거주지 관할', '복지서비스', '복지급여', '기준중위소득 60%이하', '소득기준 상향', '부자가족', '복지시설', '중학생 및 고등학생 아동', '연 9만 3,000원 지급', '생활보조금', '행정복지센터', '신청', '대상 소득인정액', '조건', '이해', '달라집니다.', '한부모가족 복지', '만 5세 이하 아동 추가 지급', '만 25세 이상 34세 이하 청년 한부모가족', '가족상담전화(☎1644-6621 ⇨ 2번)', '알려드립니다', '혜택', '한부모가족증명서 발급 대상', '소득기준', '변경', '복지로(www.bokjiro.go.kr) 온라인 신청', '요구서류', '생활보조금 월 5만 원 지급', '후생자금', '유지보수비', '대안', '연체하지 않는다.']",한부모가족 아동 양육비 지원은 기준 중위소득 60% 이하인 한부모가족과 조손가족을 대상으로 아동의 양육비와 교육비를 지원하는 서비스입니다.
6,기타지원,기타지원_07.html,한부모가족 자녀 교육비 지원,This service provides financial support for the education expenses of children from single-parent families.,The service covers the full cost of admission fees and tuition for high school students.,"The service aims to alleviate the financial burden on single-parent families by providing financial support for the education expenses of their high school children. It covers the full cost of admission fees and tuition, ensuring that these children have access to education without any financial constraints.",The target of this service is single-parent families and bereaved families who have a child under the age of 18 and have an income below 60% of the median income.,"This service is specifically designed to support single-parent families and bereaved families who are raising a child under the age of 18. To be eligible, these families must have an income below 60% of the median income. The service aims to provide financial assistance to these families, ensuring that their children have access to education without any financial constraints.","{'single-parent families': ['one-parent families', 'sole-parent families', 'parenting alone families'], 'bereaved families': ['grieving families', 'mourning families', 'families who have lost a loved one'], 'child under 18': ['minor child', 'underage child', 'dependent child'], 'income below 60% of median income': ['low-income', 'financially disadvantaged', 'economically challenged']}","{'admission fees': ['enrollment fees', 'registration fees', 'entrance fees'], 'tuition': ['educational fees', 'school fees', 'instructional costs'], 'high school students': ['secondary school students', 'teenagers in high school', 'students in grades 9-12'], 'full support': ['complete assistance', 'total coverage', 'comprehensive aid']}","['한부모가족', '조손가족', '무상교육지원', '교육비지원', '입학금지원', '수업료지원', '소득인정액', '중위소득', '양육보조금', '가정경제지원', '사회복지', '복지정책', '만 18세미만 아동', '자녀양육', '아동보육', '육아지원', '소득하위계층', '복지혜택', '고교생', '입학사업', '학생지원', '교육정책', '교육지원', '장학재단', '입학금', '등록금', '학비', '교육비', '고등학교입학', '중학교입학', '수업료', '수강료', '외부교육', '학습재활', '학습지원', '국민학습지원', '거주지 주민센터', '행정복지센터', '지원신청', '복지시스템', '주민지원', '복지금지원', '온라인 누리집', '교육비원클릭', '온라인신청', '복지로', '온라인서비스', '온라인상담', '교육비 중앙상담센터', '상담전화번호', '상담창구', '문의안내', '고객센터', '서비스문의', '교육비 지원 신청', '지원절차', '지원요건', '서류제출', '신청방법', '지원안내']","한부모가족 및 조손가족을 대상으로하여, 소득인정액이 중위소득 60% 이하이면서 만 18세 미만 아동을 양육하는 경우 고교생 자녀의 입학금 및 수업료를 전액 지원합니다."
7,기타지원,기타지원_08.html,한부모가족 주거 지원,The service provides housing support for low-income single-parent families.,The service includes support for public rental housing and affordable monthly rent for joint living family type housing.,"The service offers priority for applying for public rental housing such as permanent rental housing, national rental housing, happy housing, and existing housing purchase rental/lease. It also provides support for joint living family type housing through government subsidies for rental deposits and affordable monthly rent in 14 cities.",The service is for low-income single-parent families without a home.,The service is targeted towards low-income single-parent families who do not own a home.,"{'low-income': ['poor', 'underprivileged', 'economically disadvantaged'], 'single-parent families': ['one-parent families', 'sole-parent families', 'unmarried parent families'], 'homeless': ['without a home', 'houseless', 'unhoused']}","{'public rental housing': ['government-subsidized housing', 'social housing', 'publicly-owned housing'], 'affordable monthly rent': ['low-cost monthly rent', 'economical monthly rent', 'budget-friendly monthly rent'], 'joint living family type housing': ['shared living family housing', 'co-living family housing', 'communal family housing']}","['한부모가족 주거', '대상 가구', '무주택 저소득', '공공임대주택', '공동생활가정형', '매입임대', '우선순위 부여', '국민임대주택', '행복주택', '저렴한 월세']","한부모가족 주거 지원은 무주택 저소득 한부모가족을 대상으로 공공임대주택과 공동생활가정형(매입임대) 주거지원을 제공합니다. 국민임대주택, 행복주택 등 다양한 주거 형태로 우선순위 부여 및 저렴한 월세 주거를 지원하고 있습니다."
8,기타지원,기타지원_09.html,한부모가족 복지시설 지원,The service provides support for single-parent families in need.,"The service includes housing, self-reliance support, psychological therapy, and medical benefits.","The service offers various forms of assistance to single-parent families, such as providing housing accommodations, supporting self-reliance through vocational and parenting education, offering psychological therapy for emotional well-being, and providing medical benefits for healthcare needs.",The service is targeted towards single-parent families with children under 18 years old and with income below a certain threshold.,"The service is specifically designed to support single-parent families who are raising children under the age of 18 (or 22 if the child is still in school) and have a household income below the designated threshold. This includes single mothers, single fathers, divorced parents, and unmarried mothers.","{'single-parent families': ['one-parent families', 'sole-parent families', 'parenting alone families'], 'children': ['kids', 'youth', 'offspring'], 'income': ['earnings', 'revenue', 'salary'], 'threshold': ['limit', 'cutoff', 'boundary'], 'single mothers': ['unwed mothers', 'sole mothers', 'unmarried mothers'], 'single fathers': ['unwed fathers', 'sole fathers', 'unmarried fathers'], 'divorced parents': ['separated parents', 'split parents', 'former spouses with children'], 'unmarried mothers': ['single moms', 'unwed moms', 'sole moms']}","{'housing': ['accommodation', 'shelter', 'residence'], 'self-reliance support': ['empowerment assistance', 'independence aid', 'self-sufficiency support'], 'psychological therapy': ['mental health counseling', 'emotional therapy', 'psychiatric treatment'], 'medical benefits': ['healthcare coverage', 'medical assistance', 'health insurance'], 'vocational education': ['job training', 'career education', 'employment skills development'], 'parenting education': ['child-rearing classes', 'parenting workshops', 'family education'], 'emotional well-being': ['mental health', 'psychological wellness', 'emotional health'], 'healthcare needs': ['medical requirements', 'health services', 'medical necessities']}","['한부모가족', '모자가족', '부자가족', '미혼모자가족', '무주택', '복지시설', '복지지원', '한부모가정', '지원제도', '아동양육', '중위소득', '소득인정액', '기준', '부모자립', '발달지원', '숙식제공', '주거제공', '생활환경', '복지도서관', '급식지원', '자립지원', '직업교육', '학습지원', '자금지원', '창업지원', '심리치료', '상담지원', '심리상담', '정서지원', '스트레스관리', '의료혜택', '의료비지원', '건강검진', '의료서비스', '보험지원', '시군구청', '지역사회', '지자체', '신청방법', '담당부서', '가족상담전화', '상담센터', '가정복지', '긴급요구', '문의처', '양육교육', '아동양육과정', '돌봄서비스', '교육지원', '문해력']","한부모가족 복지시설은 기준 중위소득 100% 이하의 무주택 한부모가족을 대상으로 숙식 제공, 자립 및 심리치료 등 다양한 지원을 제공합니다. 가족의 양육 환경과 부모의 자립을 돕고, 아동의 발달에 힘쓰는 것이 목적입니다. 이를 통해 한부모가족들의 삶의 질을 향상시키고 복지를 지원합니다."
9,기타지원,기타지원_10.html,양육비 이행지원 종합서비스,The comprehensive support service for child support enforcement,"Customized support for child support-related counseling, negotiation, litigation, and enforcement monitoring","The service provides tailored support for individuals who are divorced, unmarried parents, or single parents raising children under the age of 19 (or 22 if still in school). It includes counseling, negotiation, legal action, and monitoring to ensure the enforcement of child support payments.","Divorced, unmarried parents, and single parents raising children under the age of 19 (or 22 if still in school)","The service is targeted towards individuals who are divorced, unmarried parents, or single parents raising children under the age of 19 (or 22 if still in school). These individuals may face difficulties in receiving child support due to complex procedures and financial constraints.","{'divorced': ['separated', 'split up', 'broken up'], 'unmarried parents': ['single parents', 'unwed parents', 'sole parents'], 'single parents': ['sole parents', 'unmarried parents', 'unwed parents'], 'raising children': ['caring for children', 'nurturing children', 'parenting'], 'under 19': ['below 19', 'less than 19', 'younger than 19'], 'under 22': ['below 22', 'less than 22', 'younger than 22'], 'child support': ['financial support for children', 'maintenance payments', 'alimony'], 'difficulties': ['challenges', 'obstacles', 'problems'], 'complex procedures': ['complicated processes', 'difficult protocols', 'intricate steps'], 'financial constraints': ['financial limitations', 'economic restrictions', 'money difficulties']}","{'child support-related counseling': ['counseling for child support', 'advice on child support', 'supportive guidance for child support'], 'negotiation': ['mediation', 'discussion', 'bargaining'], 'litigation': ['legal action', 'lawsuit', 'legal proceedings'], 'enforcement monitoring': ['monitoring of enforcement', 'supervision of compliance', 'oversight of implementation'], 'customized support': ['tailored assistance', 'personalized aid', 'individualized help']}","['양육비 이행지원 서비스', '양육비 이행기관', '이혼 가족 지원', '한부모 가정 지원', '자녀 양육 지원', '이혼 후 경제적 어려움', '종합지원 서비스', '자녀 양육 비용 지원', '상담 지원 서비스', '이혼 소송 지원', '양육비 추심 지원', '양육비 이행 모니터링', '양육비 집행 감독', '양육비 수급자 지원', '양육비 이행 상담', '경제적 어려움 해소', '한부모 가족 지원', '미혼 부모 지원', '조손 가정 지원', '양육비 협의 및 분쟁 해결', '맞춤형 서비스', '양육비 이행지원 기관', '양육비 이행 국 공 민  세 구분 없이 지원', '양육비 이행 관리원 신청', '자녀 양육 경제 문제', '장기간 미납 양육비', '자녀 양육비 이행', '양육비 수급 대상자', '양육비 이행 방법', '누적 미납 양육비', '대안 양육비', '양육비 이행사실 확인', '자동 출금 방식 이행', '방문 상담 예약', '양육비 이행도움말', '재산 조사', '양육비 추심 절차', '양육비 지출 증빙 자료 제출', '세입자 잔고 발주지시서 확인', '선조용 배당 결정', '추심명령 동의서 작성', '양육비 소송 지원', '이혼 소송 비용 줄이', '가격 합의', '상담 및 중재 절차 지원', '분쟁 해결', '양육비 이행 모니터링 참여', '양육비 정상적 이행 확인', '자녀 복지 현황 판단', '가정 방문 사후 처리', '본인 확인 및 검증']","양육비 이행지원 종합서비스는 이혼·미혼 한부모·조손 가족의 만 19세(취학 중인 경우 22세) 미만 자녀를 양육하는데 어려움을 겪고 있는 가정을 지원하기 위한 서비스입니다. 이 서비스는 양육비 관련 상담, 협의, 소송 및 추심, 이행 모니터링 등을 포함하는 맞춤형 종합 지원을 제공합니다. 한부모가 복잡한 절차와 비용으로부터 해방되어 자녀양육에 집중할 수 있도록 도와줍니다."
