,filename,target,content
0,기타지원_01.html,"구분 지원대상 코로나19 긴급돌봄 · 아동, 노인, 장애인 등 돌봄이 필요하나, 확진으로 인한 보호자의 입원 등으로 가정 내 돌봐줄 사람이 부재한 경우 · 본인의 자가격리 등 코로나19 확산으로 이용하고 있던 기존 돌봄서비스가 중단됐으나 돌봄을 제공할 보호자 및 대체 서비스가 부재한 경우 · 종사자 확진 또는 백신 접종 후 이상 반응 등에 따른 종사자 휴가 등으로 사회복지시설 내 돌봄 인력 공백이 생긴 경우 · 시·도 또는 긴급돌봄지원단 내 대상자 선정위원회에서 코로나19로 인해 긴급하게 돌봄이 필요하다고 인정하는 경우 코로나19 외 긴급돌봄 · 갑작스러운 질병(수술)·사고, 일시적 신체 저하로 긴급하게 재가·이동지원 등 돌봄서비스가 필요한 자 · 일시적으로 돌봄이 필요하나 가족·부양의무자가 돌봄을 제공하기 어려운 경우 · 장애등급 및 장기요양등급 판정 등 기존 제도권 서비스 대상자 선정 대기 중단기적으로 서비스가 필요한 경우 · 기타 위기 사유로 인해 긴급한 돌봄이 필요하다고 시·도에서 인정하는 경우","시도지사, 시군구청장 또는 긴급돌봄지원단 대상자 선정위원회에서 선정한 긴급돌봄 대상자에게 긴급돌봄서비스를 제공할 수 있는 인력을 매칭 지원 구분 지원내용 코로나19 긴급돌봄 의료기관, 생활치료센터 입소기간, 자가격리 기간 등을 고려하여 최대 7일을 원칙으로 하되, 긴급한 필요가 있는 경우 3일 연장 가능 코로나19 외 긴급돌봄 일시적인 위기상황 1회당 총 100시간(30일 내) 지원, 불가피한 경우에 한정하여 연장 가능"
1,기타지원_02.html,"방문요양, 긴급돌봄 등이 필요한 아동·노인·장애인","지역별 여건에 따라 사업내용과 제공인력 자격요건 등이 유사한 장기요양서비스(방문요양, 방문간호, 방문목욕, 주야간보호), 장애인 활동지원, 노인맞춤돌봄 등 돌봄서비스 제공"
2,기타지원_03.html,가정생활에 도움이 필요한 모든 가족,"구분 지원내용 가족교육 생애주기별 신혼기·중년기·노년기 부부교육, 부모교육 등 가족상담 가족 간 갈등 해결을 위한 부부상담, 부모-자녀상담, 이혼 전∙후 상담 등 가족문화 프로그램 가족사랑의 날 행사, 전통문화체험교실, 건강가정캠페인 등"
3,기타지원_04.html,"미혼모부, 한부모 등 모든 가족","· 임신∙출산갈등상담 : 임신, 출산 갈등 관련 심리정서지원 및 정보제공 · 양육비상담 : 양육비이행확보지원 관련 상담 · 한부모가족상담 : 한부모가족 정책, 지원서비스 관련 정보제공 · 가족서비스상담 : 가족갈등 심리정서지원, 가족정책 정보제공"
4,기타지원_05.html,자녀를 양육하고 있는 기준중위소득 72% 이하 청소년한부모 * * 가구 및 혼인기록이 없고 사실혼 관계가 아니면서 한부모가족 복지시설에 입소하지 않은 미혼모·부자 * 모 또는 부가 만 24세 이하 청소년,"사례관리를 통한 청소년 한부모 및 미혼모·부의 양육·자립 지원 · (정부 서비스 연계) 양육·취업 등 각종 지원 정보를 종합적으로 안내하고 필요한 서비스를 연계·제공(신청 대행 포함) - (생활지원) 임신·출산 의료비, 건강관리, 양육(돌봄) 서비스 지원 연계 등 - (자립지원) 주거 지원, 취업 지원(직업훈련등) 양육비이행 지원 연계 등 - (기타지원) 각종 서비스 정보 안내, 지역사회 자원 활용·연계 등 · (정서 지원 등 서비스) 상담, 전문심리치료, 멘토링, 양육용품·병원비(연 100만 원 이내) 지원, 자조모임 지원 등"
5,기타지원_06.html,"소득인정액이 기준 중위소득 60%(2인 기준 207만 3,693원) 이하이면서 만 18세(취학 시 만 22세) 미만의 아동을 양육하는 한부모가족 및 조손가족 ※ 한부모가족증명서 발급 대상 : 기준 중위소득 60%(2인 기준 207만 3,693원) 이하","아동 양육비와 교육비 지원 구분 지원내용 아동양육비 · 만 18세 미만 아동 1인당 월 20만 원 지급 ※ 생계급여를 지원받는 한부모가족의 자녀에게도 동일하게 지원 추가 아동양육비 · 조손가족 및 만 35세 이상 미혼 한부모가족의 만 5세 이하 아동 1인당 월 5만 원 추가 지급 · 만 25세 이상 34세 이하 청년 한부모가족의 만 5세 이하 아동 1인당 월 10만 원 추가 지급 · 만 25세 이상 34세 이하 청년 한부모가족의 만 6세 이상 18세 미만 아동 1인당 월 5만원 추가 지급 학용품비 · 중학생 및 고등학생 아동 1인당 연 9만 3,000원 지급 생활보조금 · 한부모가족 복지시설에 입소한 저소득 한부모가족 월 5만 원 지급"
6,기타지원_07.html,소득인정액이 기준 중위소득 60% 이하이면서 만 18세 미만 아동을 양육하는 한부모가족 및 조손가족,고교생 자녀의 입학금 및 수업료 전액 지원
7,기타지원_08.html,무주택 저소득 한부모가족,"· 공공임대주택 지원 : 영구임대주택, 국민임대주택, 행복주택, 기존주택 매입임대·전세임대의 청약 우선순위 부여, 국민임대주택 우선공급, 5년·10년 공공임대 주택은 특별공급 · 공동생활가정형(매입임대) 주거지원 : 임대보증금을 국비로 지원, 저렴한 월세 주거(14개 시도 * 운영 중) * 서울, 부산, 대구, 인천, 광주, 대전, 경기, 강원, 충북, 충남, 전북, 경북, 경남, 제주"
8,기타지원_09.html,"소득인정액이 기준 중위소득 100%(2인 기준 345만 6,155원) 이하이면서 18세(취학 중인 경우 22세) 미만의 아동을 양육하는 무주택 한부모가족(모자가족, 부자가족, 미혼모자가족 등)","주거(숙식) 제공, 자립(직업·양육교육 등), 심리치료 지원, 의료혜택 지원 ※ 시설유형에 따라 지원내용 다름"
9,기타지원_10.html,만 19세(취학 중인 경우 22세) 미만 자녀를 양육하는 이혼·미혼 한부모·조손 가족,"양육비 관련 상담, 협의, 소송 및 추심, 이행 모니터링에 이르기까지 맞춤형 종합 지원"
