,query,titles,1,2,3
0,"저는 싱글 맘인데, 최근에 수술을 받아서 아이를 돌볼 수 없는 상황이에요","['북한이탈주민 사회보장 지원', '가사·간병 방문 지원사업', '입양 숙려기간 모자지원', '공동육아나눔터 운영', '가족상담전화', '가족희망드림 지원', '육아종합지원센터', '장애아가족 양육지원', '청소년한부모 등 자립지원패키지', '여성장애인 가사도우미 파견']",가사·간병 방문 지원사업,공동육아나눔터 운영,육아종합지원센터
25,제가 아이를 양육하는 데 어려움을 겪고 있는 싱글 부모입니다,"['학교 밖 청소년 지원', '공동육아나눔터 운영', '다문화가족 방문교육 서비스', '여성장애인 가사도우미 파견', '아동통합서비스 지원', '장애아가족 양육지원', '육아종합지원센터', '가족희망드림 지원', '가족상담전화', '청소년한부모 등 자립지원패키지']",싱글맘 청소년 지원,공동육아나눔터 운영,다문화가족 방문교육 서비스
50,나는 한 부모이고 아이를 혼자 양육하기 힘들어,"['공동육아나눔터 운영', '청소년한부모 자립 지원', '여성장애인 가사도우미 파견', '다문화가족 방문교육 서비스', '아동통합서비스 지원', '장애아가족 양육지원', '가족희망드림 지원', '육아종합지원센터', '가족상담전화', '청소년한부모 등 자립지원패키지']",공동육아나눔터 운영,청소년한부모 자립 지원,아동통합서비스 지원
75,"나는 최근에 한국으로 이사 왔는데, 언어와 문화에 적응하기가 힘들어요","['중증장애인 지원고용', '다문화가족 자녀 언어발달 지원', '북한이탈주민 주택알선 지원', '다문화·탈북학생 멘토링 지원', '북한이탈주민 법률상담', '다누리콜센터', '사회통합프로그램', '결혼이민자 통번역서비스', '다문화가족 방문교육 서비스', '이주배경청소년 지원']",다문화가족 자녀 언어발달 지원,다문화가족 방문교육 서비스,이주배경청소년 지원
100,나는 최근에 새로운 도시로 이사를 왔는데 취업을 찾는데 어려움을 겪고 있어요,"['출소자 등 자립 지원', '성폭력피해 아동·청소년 전용쉼터', '서민금융진흥원 자영업 컨설팅', '고졸자 후속관리 지원모델 개발 사업', '1인가구 사회적관계망 형성 지원사업', '중증장애인 직업재활 지원', '중앙취업지원센터 운영', '청소년상담 1388', '여성 경제활동 촉진 지원사업', '학교 밖 청소년 지원']",중앙취업지원센터 운영,1인가구 사회적관계망 형성 지원사업,서민금융진흥원 자영업 컨설팅
125,상담사에게 제한된 시간이 있다는 게 알았어요,"['발달장애인 부모 상담 지원', '해바라기센터', '가족희망드림 지원', '보훈가족 심리재활서비스 지원', '청소년동반자 프로그램', '청소년치료재활센터', '위(Wee)프로젝트 상담지원', '청년마음건강지원사업(바우처)', '학교 밖 청소년 지원', '청소년상담 1388']",청소년상담 1388,청소년동반자 프로그램,학교 밖 청소년 지원
150,최근에 새로운 도시에 이사를 왔는데 숙소가 없어요,"['폭력 피해여성 주거 지원', '북한이탈주민 사회보장 지원', '정부지원 일자리 제공', '마을변호사', '주거취약계층 주거지원', '국민임대주택 공급', '분양전환 공공임대주택 공급', '긴급 주거지원', '행복주택 공급', '영구임대주택 공급']",주거취약계층 주거지원,긴급 주거지원,영구임대주택 공급
175,"최근에 직장에서 다쳐서 치료를 받았는데, 잠재적인 합병증에 대해 걱정이 되네요","['장애인 의료재활시설 이용', '의사상자 등 지원', '지역사회 중심 재활사업', '산재보험 요양급여', '산업재해 보상보험 제도', '보훈병원 진료', '산재근로자 사회심리 재활 지원', '산재근로자 직장복귀 지원(근로자)', '국가유공자 기타의료지원', '산재근로자 케어센터 지원']",산재보험 요양급여,산업재해 보상보험 제도,산재근로자 직장복귀 지원(근로자)
200,최근에 직장에서 다쳤어요,"['중장기복무 제대군인 무료법률 구조 지원', '개인회생·파산 종합지원센터', '보훈병원 진료', '의사상자 등 지원', '의료급여 산정특례', '산재근로자 사회심리 재활 지원', '가정폭력 피해자 치료회복 프로그램 및 의료비 지원', '국가유공자 기타의료지원', '산재근로자 직장복귀 지원(근로자)', '산재근로자 케어센터 지원']",중장기복무 제대군인 무료법률 구조 지원,개인회생·파산 종합지원센터,산재근로자 직장복귀 지원(근로자)
225,나는 작은 영농 사업을 하고 있는 농부입니다,"['장애인 근로지원인', '다누리콜센터', '고교 취업연계 장려금', '취약어가 인력 지원(어촌생활돌봄지원)', '산재근로자 합병증 등 예방관리', '이주배경청소년 지원', '북한이탈주민 법률상담', '다문화가족 방문교육 서비스', '결혼이민자 통번역서비스', '취약농가 인력 지원(영농도우미)']",취약농가 인력 지원(영농도우미),장애인 근로지원인,고교 취업연계 장려금
250,"최근에 가족이 사고로 사망했고, 감정적으로나 금전적으로 부담을 느끼고 있어요","['긴급복지 지원제도', '보훈가족 심리재활서비스 지원', '가족희망드림 지원', '산재근로자 사회심리 재활 지원', '일본군 ‘위안부’ 피해자 생활안정 및 기념사업', '자살예방센터 운영', '성폭력피해 아동·청소년 전용쉼터', '가정폭력 피해자 치료회복 프로그램 및 의료비 지원', '의사상자 등 지원', '가족상담전화']",긴급복지 지원제도,보훈가족 심리재활서비스 지원,가족희망드림 지원
275,최근에 새로운 도시로 이사를 왔는데 일자리를 찾기 어려워요,"['이주배경청소년 지원', '성폭력피해 아동·청소년 전용쉼터', '고졸자 후속관리 지원모델 개발 사업', '1인가구 사회적관계망 형성 지원사업', '서민금융진흥원 자영업 컨설팅', '중앙취업지원센터 운영', '청소년상담 1388', '중증장애인 직업재활 지원', '여성 경제활동 촉진 지원사업', '학교 밖 청소년 지원']",이주배경청소년 지원,1인가구 사회적관계망 형성 지원사업,중앙취업지원센터 운영
300,최근에 북한에서 도망쳐난 상태예요,"['다누리콜센터', '법문화교육센터', '개인회생·파산 종합지원센터', '마을변호사', '청소년상담 1388', '이주배경청소년 지원', '탈북학생 교육 지원', '법률구조 제도', '북한이탈주민 주택알선 지원', '북한이탈주민 법률상담']",북한이탈주민 법률상담,북한이탈주민 주택알선 지원,탈북학생 교육 지원
325,저는 아이들을 위한 저렴한 주거를 찾는 싱글맘입니다,"['공동육아나눔터 운영', '청소년한부모 등 자립지원패키지', '폭력 피해여성 주거 지원', '행복주택 공급', '국민임대주택 공급', '주거취약계층 주거지원', '육아종합지원센터', '기존주택 일반 저소득층·신혼부부·청년 등 매입임대주택 지원', '주거급여', '영구임대주택 공급']",주거취약계층 주거지원,행복주택 공급,국민임대주택 공급
350,"지정 개발제한구역에 살고 있는데, 월급이 2021년 도시 가구 평균 이하인데요","['생계곤란 병역감면 제도', '지역사회서비스 투자사업', '국민임대주택 공급', '근로장려금', '자녀장려금', '행복주택 공급', '영구임대주택 공급', '분양전환 공공임대주택 공급', '주거급여', '북한이탈주민 사회보장 지원']",생계곤란 병역감면 제도,지역사회서비스 투자사업,국민임대주택 공급
375,제가 작은 아파트에서 홀로 살고 있는 노인입니다,"['여성장애인 가사도우미 파견', '주거급여', '노인복지관, 경로당 이용', '노인보호 전문기관 이용', '북한이탈주민 사회보장 지원', '노인 일자리 및 사회활동 지원', '노인장기요양보험제도', '독거노인·장애인 응급안전 안심서비스', '1인가구 사회적관계망 형성 지원사업', '독거노인 사회관계 활성화 지원']",주거급여,노인복지관,독거노인·장애인 응급안전 안심서비스
400,혼자 아이를 키우며 월세를 내기가 힘들어요,"['자녀장려금', '가족희망드림 지원', '한부모가족 복지시설 지원', '주거취약계층 주거지원', '가족상담전화', '육아종합지원센터', '청소년쉼터', '주거급여', '영구임대주택 공급', '청소년한부모 등 자립지원패키지']",자녀장려금,한부모가족 복지시설 지원,주거취약계층 주거지원
425,어르신이세요,"['신중년 경력형 일자리', '결혼이민자 통번역서비스', '노인장기요양보험제도', '노인보호 전문기관 이용', '장애인 운전교육 사업', '1인가구 사회적관계망 형성 지원사업', '노인 일자리 및 사회활동 지원', '독거노인·장애인 응급안전 안심서비스', '독거노인 사회관계 활성화 지원', '북한이탈주민 사회보장 지원']",신중년 경력형 일자리,노인 일자리 및 사회활동 지원,독거노인 사회관계 활성화 지원
450,"저는 경제적으로 힘들어하는 싱글 부모이고, 치과 치료가 필요한 아이가 있어요","['보훈병원 진료', '육아종합지원센터', '가족희망드림 지원', '경계선지능아동 맞춤형 사례관리서비스', '청소년한부모 등 자립지원패키지', '가족상담전화', '노인 틀니 지원', '자녀장려금', '어린이 불소 도포', '노인 치과 임플란트 지원']",보훈병원 진료,육아종합지원센터,가족희망드림 지원
475,저는 연금수령자이고 교통비 지출에 어려움을 겪고 있어요,"['주거급여', '독거노인 사회관계 활성화 지원', '정보통신 보조기기 보급', '노인 일자리 및 사회활동 지원', '장애인 서비스지원 종합조사 신청', '장애인 운전교육 사업', '노인장기요양보험제도', '북한이탈주민 사회보장 지원', '장애인 생활이동지원센터', '교통시설 이용 지원']",주거급여,독거노인 사회관계 활성화 지원,노인 일자리 및 사회활동 지원
500,최근에 일자리를 잃었고 생계 유지에 고민되고 있어요,"['산재근로자 사회심리 재활 지원', '청소년상담 1388', '보훈가족 심리재활서비스 지원', '성폭력피해 아동·청소년 전용쉼터', '근로장려금', '북한이탈주민 사회보장 지원', '자활근로', '출소자 등 자립 지원', '학교 밖 청소년 지원', '여성 경제활동 촉진 지원사업']",산재근로자 사회심리 재활 지원,근로장려금,북한이탈주민 사회보장 지원
525,자영업자인데 전통적인 금융 기관에서 대출을 받기가 어려워요,"['산재근로자 생활안정자금 융자', '햇살론', '신용회복위원회 채무조정', '심신장애인 학자금대출 채무면제', '국가유공자 등 대부 지원', '새희망홀씨', '소상공인 지원', '장애인 자립자금 대여', '서민금융진흥원 맞춤대출서비스', '미소금융']",산재근로자 생활안정자금 융자,햇살론,소상공인 지원
550,최근에 직장을 잃어버렸고 생활을 이어나가기 힘들어요,"['정부지원 일자리 제공', '중증장애인 직업재활 지원', '성폭력피해 아동·청소년 전용쉼터', '청소년쉼터', '자활근로', '근로장려금', '출소자 등 자립 지원', '여성 경제활동 촉진 지원사업', '북한이탈주민 사회보장 지원', '학교 밖 청소년 지원']",정부지원 일자리 제공,자활근로,근로장려금
575,작은 회사를 운영하고 있어요,"['여성특화제품 해외 진출 지원', '다문화가족지원센터 이용', '법률홈닥터', '다문화가족 방문교육 서비스', '대학의 장애학생지원센터 운영 지원', '다누리콜센터', '서민금융진흥원 자영업 컨설팅', '북한이탈주민 법률상담', '다문화가족 자녀 언어발달 지원', '결혼이민자 통번역서비스']",다문화가족지원센터 이용,다문화가족 방문교육 서비스,결혼이민자 통번역서비스
600,"제가 희귀하고 심각한 질병을 가지고 있어서 치료가 필요한데, 제 소득은 낮고 금전적으로 지원해줄 사람이 없습니다","['석면피해자 지원', '장애인 의료재활시설 이용', '북한이탈주민 사회보장 지원', '산재근로자 케어센터 지원', '가정폭력 피해자 치료회복 프로그램 및 의료비 지원', '국가유공자 기타의료지원', '건강보험 차상위', '희귀질환자 의료비 지원', '의료급여 산정특례', '보훈병원 진료']",희귀질환자 의료비 지원,의료급여 산정특례,보훈병원 진료
