question,total_token_counts
"저는 싱글 맘인데, 최근에 수술을 받아서 아이를 돌볼 수 없는 상황이에요",3633
"저는 혼자 살고 있는 노인인데, 최근에 몸이 안 좋아졌어요",3095
"저는 장애인이고, 갑작스럽게 간병인이 병원에 입원해 필요한 일상 생활 도움이 매우 급하게 필요해요",3230
"저는 최근에 심각한 질병을 진단받았는데, 치료 동안 침대에 누워야 해요",2403
"저희 아이가 학교에서 코로나19에 노출되었고, 이번 주 동안 자가격리를 해야 해요",2624
"나는 직장을 다니는 부모이며, 아이 돌보기와 일상 생활을 균형잡기 힘들어요",3554
최근에 장애가 생겨서 일상 생활을 혼자서 처리하는 게 힘들어요,3092
"나는 혼자 사는 노인이고, 종종 외로움과 고립감을 느껴요",3039
나의 노인 부모님은 의료적 관리와 일상 활동 지원이 필요해요,3359
최근에 일자리를 잃었고 경제적으로 힘들어요,2479
"최근에 결혼했고, 배우자와 의사소통 문제가 있어요",1697
"저는 새로운 부모이며, 아기를 돌보는 책임에 압도되는 느낌이 들어요",2794
"저는 어른이 된 부모님이 함께 살고 있는데, 직장과 가족을 동시에 관리하는 것이 어려운 때가 있어요",3748
우리 가족은 많은 갈등과 긴장감이 있는 가정입니다,2034
"저는 제 문화적 유산에 대해 더 알고 싶고, 가족 구성원간의 유대감을 강화하고 문화적 정체성을 강화하는 활동에 참여하고 싶어요",1524
나는 한 부모로서 아이를 혼자 키우는 도중에 어려움을 겪고 있어요,3858
제 파트너와 저는 어떻게 자녀를 양육해야 할지에 대해 계속 논쟁하고 있어요,3172
최근에 직장을 잃어서 가족을 경제적으로 지원하는 데 어려움을 겪고 있어요,1584
"요즘 제 기분이 매우 외로워지고 있는데, 비슷한 경험을 한 사람들과 소통하고 싶어요",1863
"저는 임신한 상태이고, 전반적으로 불안하고 잘 모르는 상태인데요",1872
나는 혼자 아이를 양육하고 책임을 다루는데 어려움을 겪고 있어,4051
나는 제한된 자원을 가진 젊은 미혼 엄마이며 임신 및 출산 후 보호에 도움이 필요해,3624
나는 최근에 싱글 부모가 되어 안정된 집을 제공하기 위해 주거 지원이 필요해,3394
나는 젊은 싱글 어머니이며 아이를 경제적으로 지원하기 위해 취업 기회가 필요해,2588
젊은 싱글 부모로서 압도되는 느낌이 들어 상담이나 치료가 정말 필요해,3385
제가 아이를 양육하는 데 어려움을 겪고 있는 싱글 부모입니다,3518
최근에 일자리를 잃어서 아이의 교육비를 어떻게 마련할지 모르겠어요,3068
나이가 어린 싱글 부모로서 토들러를 키우는 경비에 도움이 필요해요,3711
장애 아이를 키우는 싱글 부모로서 추가 비용에 어려움을 겪고 있습니다,3425
사위로부터 지원받기 어려워 생계를 유지하면서 손주를 돌보는 것이 어렵습니다,2400
내가 돈 많이 필요한 싱글 부모로서 아이의 교육비를 감당하는게 힘들어,2772
나의 노인 부모님은 혼자 살고 있어서 일상 생활에서 도움이 필요해,2294
최근에 일자리를 잃어서 월세를 낼 수가 없어,1819
나는 장애가 있어서 적합한 일자리 찾는데 도움이 필요해,2006
정신 건강 문제로 고민하는 대학생이고 상담이 필요해,2444
최근에 한 부모가 되어서 가족을 위한 저렴한 주택을 찾는데 어려움을 겪고 있어요,7547
저는 저소득 계층이고 집을 처음으로 소유한 적이 없어요,5433
"좁은 예산으로 생활하는 한 부모이고, 지역의 높은 임대료를 감당할 수 없어요",2261
공공 주택 신청을 하려고 하는데 어떻게 시작해야 할지 잘 모르겠어요,7085
"저는 주택 매입에 관심이 있지만, 저소득자로서 과정을 어떻게 진행해야 할지 안내가 필요해요",3272
나는 아이를 부양하기 힘들어하는 싱글모이야,3459
"나는 어린 아이와 함께 하는 싱글맘인데, 양육의 책임에 압도됐어요",3763
난 싱글 아빠인데 요새 일자리를 잃었어요,4140
딸이 감정적인 문제로 고통 받고 있어요,3967
"나는 장애를 가진 싱글 부모이고, 아이의 요구를 충족시키기 힘들어해요",4400
제가 한 부모로서 아이의 경제적인 필요를 충족시키기가 어렵습니다,2586
"노인 부모님이 최근에 돌아가셨고, 저는 동생들을 돌봐야하는 책임이 있어요",3602
"저는 장애인으로, 적합한 일자리를 찾기 위해 지침과 지원이 필요합니다",1660
저는 가정 폭력의 피해자로서 가해자에 대한 영구 보호처분 수립을 도와달라고 도움이 필요합니다,1697
전 소득이 적어서 음식과 주거와 같은 기본 필요품을 어렵게 구할 수 있습니다,2755
나는 한 부모이고 아이를 혼자 양육하기 힘들어,2108
나는 최근에 일자리를 잃어서 아이의 교육비를 내기가 힘들어,3986
나는 장애를 가지고 있어서 재정적으로 독립하기 위해 추가적인 지원이 필요해,3090
나는 소득이 적어서 의료비를 갚을 돈이 없어,1818
나는 보호자의 보호 아래 자라느라 젊은 성인으로서 독립 생활에 어려움을 겪고 있어,2769
"4살 아이와 함께 혼자서 사는 싱글맘인데, 어린이돌봄비용을 감당하기 힘들어요",3832
"새로운 도시로 이사를 왔는데, 3살 아이와 함께 적합한 유치원을 찾는데 도움이 필요해요",3885
"제 아이는 2살인데, 저는 현재 실직 상태입니다",4543
우리 가족은 최근 이민을 왔는데 정착에 어려움을 겪고 있어요,1657
저는 근로자로서 1~2살 아이를 키우고 있는데 어린이돌봄비용이 예산을 초과합니다,4714
저는 어려운 상황에서 말끔히 끝마치기 위해 고군분투하는 싱글 부모입니다,2171
"저는 최근에 일자리를 잃어버렸고, 새로운 일자리를 찾는 데 어려움을 겪고 있습니다",2030
제 노인 부모님은 집에서 자신들을 돌보기가 어려움을 겪고 있습니다,2157
저는 장애가 있어서 일하기 위해서는 어떤 조치들이 필요합니다,2485
"난 저소득 가정에서 온 학생이며, 교육 비용 지원이 필요합니다",2968
최근에 일자리를 잃어서 생활이 어렵습니다,2194
소득이 적어서 적절한 주택을 구하기가 어렵습니다,3244
저는 싱글 부모이고 제 아이의 교육을 제공하는 것이 어렵습니다,3910
장애로 인해 일할 수 없고 의료비를 지원받을 방법이 필요합니다,1951
한국인 배우자와 결혼해서 처자의 부모님을 돌볼 때 어려움을 겪고 있습니다,1805
나 최근에 일자리를 잃어서 생활에 어려움을 겪고 있어,1897
나 만성질환을 가지고 있는데 의료비가 너무 부담스러워,1863
우리 가족이 자연재해로 인해 집을 잃었어,1518
나는 혼자 자녀들의 교육을 제공하는 데 어려움을 겪고 있어,1946
"최근에 어르신의 주요 간병인이 되었지만, 그들의 요구를 충족시키기 어렵다고 느껴",1917
"나는 최근에 한국으로 이사 왔는데, 언어와 문화에 적응하기가 힘들어요",1548
"저는 한국 사회에 대해 더 잘 이해하고 싶은데, 장기적으로 여기에서 살 계획이 있어요",2099
몇 년 동안 한국에 살고 있지만 아직 한국어에 어려움을 겪고 있어요,1834
"최근에 한국 시민권을 얻었는데, 특정 프로그램을 완료하면 혜택을 받을 수 있다는 소문이 있어요",1535
"한국에 사는 외국인인데, 한국의 역사와 문화에 대해 더 알고 싶어요",1755
"최근에 새로운 나라로 이사를 와서, 내 아이들이 현지 학교에 적응하기 어렵습니다",2042
저는 초등학교에 다니는 아이의 부모입니다,1848
제 딸은 난민 학생으로 고등학교 교육에서 어려움을 겪고 있습니다,2851
저는 최근 이민을 온 아이를 키우고 있습니다,4191
제 아들은 공립 중학교에 다니며 한국어에 어려움을 겪고 있습니다,1958
새로운 도시로 이사를 왔는데 사람들과 연결할 수 있는 공동체를 찾는 데 어려움을 겪고 있어요,1921
최근에 일자리를 잃어서 고용을 찾는 데 어려움을 겪고 있어요,2074
저는 한 부모이고 어린이 돌봄에 도움이 필요해요,3524
저는 장애가 있어서 독립적으로 살 수 있는 자원을 찾고 있어요,1757
저는 학생이고 교육을 위한 재정 지원이 필요해요,1858
최근에 새로운 나라로 이사를 왔는데 문화적 차이에 적응하는 게 어려워요,1486
