index,title,filename,article_tag,article_notag,queries,summary,keywords
0,사회서비스원 긴급돌봄 사업,기타지원_01.html,data/articles/기타지원_01.html,data/notags/기타지원_01.html,"['저는 싱글 맘인데, 최근에 수술을 받아서 아이를 돌볼 수 없는 상황이에요', '저는 혼자 살고 있는 노인인데, 최근에 몸이 안 좋아졌어요', '저는 장애인이고, 갑작스럽게 간병인이 병원에 입원해 필요한 일상 생활 도움이 매우 급하게 필요해요', '저는 최근에 심각한 질병을 진단받았는데, 치료 동안 침대에 누워야 해요', '저희 아이가 학교에서 코로나19에 노출되었고, 이번 주 동안 자가격리를 해야 해요']","사회서비스원 긴급돌봄 사업은 코로나19로 인한 돌봄의 필요성과 부재를 해소하기 위해 실시되는 프로그램입니다. 이 프로그램은 확진으로 가정 내 돌봐줄 사람이 부재한 경우, 코로나19로 인한 다른 돌봄서비스가 중단된 경우, 사회복지시설 내 돌봄 인력 공백이 생긴 경우 등에 긴급한 돌봄을 제공합니다.","['사회서비스원', '사회복지', '긴급돌봄', '코로나19', '아동돌봄', '대상 구분', '돌봄지원대상', '돌봄이 필요한 층', '긴급한 돌봄', '코로나19 긴급돌봄', '가족돌봄', '보호자 부재', '화이자 백신 접종', '긴급돌봄지원단', '종사자', '인력공백', '보건복지부', '의료기관', '생활치료센터', '입소기간', '자가격리', '갑작스러운 질병', '재가돌봄', '이동지원', '돌봄서비스', '장애등급', '장기요양등급', '돌봄제도권 서비스', '대기', '위기상황', '일시적 돌봄', '가족의무자 부재', '서비스 선정', '시도지사', '시군구청장', '코로나19 확산', '추경 지원', '사회복지센터', '업무 수행', '대책 마련', '지역사회']"
1,사회서비스원 종합재가센터,기타지원_02.html,data/articles/기타지원_02.html,data/notags/기타지원_02.html,"['나는 직장을 다니는 부모이며, 아이 돌보기와 일상 생활을 균형잡기 힘들어요', '최근에 장애가 생겨서 일상 생활을 혼자서 처리하는 게 힘들어요', '나는 혼자 사는 노인이고, 종종 외로움과 고립감을 느껴요', '나의 노인 부모님은 의료적 관리와 일상 활동 지원이 필요해요', '최근에 일자리를 잃었고 경제적으로 힘들어요']","사회서비스원 종합재가센터는 아동, 노인, 장애인과 같은 방문요양이나 긴급돌봄을 필요로 하는 대상에게 다양한 돌봄 서비스를 제공합니다. 지역별로 사업내용과 제공인력 요건 등이 다를 수 있으며, 센터에서 상담 및 신청할 수 있습니다.","['방문요양', '방문간호', '방문목욕', '주야간보호', '도움', '장애인활동지원', '장애인서비스', '장애인복지', '장애인지원', '환경제공', '노인맞춤돌봄', '노인서비스', '노인복지', '노인지원', '생활도움', '틈새돌봄', '긴급복봄', '긴급시책', '긴급돌봄서비스', '돌봄지원', '재가의료급여', '의료복지', '의료지원', '급여규정', '의료비', '방문목욕', '목욕서비스', '목욕관리', '목욕도움', '온천', '이동지원(사랑의열매)', '사랑의 열매', '이동지원사업', '운영지원', '이동서비스', '가사간병', '간병서비스', '일상도움', '위생관리', '가사지원', '장애인활동지원', '장애인서비스', '장애인복지', '장애인지원', '환경제공', '긴급틈새돌봄', '긴급복봄', '긴급시책', '긴급돌봄서비스', '돌봄지원']"
2,가족센터 운영,기타지원_03.html,data/articles/기타지원_03.html,data/notags/기타지원_03.html,"['최근에 결혼했고, 배우자와 의사소통 문제가 있어요', '저는 새로운 부모이며, 아기를 돌보는 책임에 압도되는 느낌이 들어요', '저는 어른이 된 부모님이 함께 살고 있는데, 직장과 가족을 동시에 관리하는 것이 어려운 때가 있어요', '우리 가족은 많은 갈등과 긴장감이 있는 가정입니다', '저는 제 문화적 유산에 대해 더 알고 싶고, 가족 구성원간의 유대감을 강화하고 문화적 정체성을 강화하는 활동에 참여하고 싶어요']","가족센터는 도움이 필요한 모든 가정에게 지원을 제공하는 서비스입니다. 가족교육, 가족상담 및 가족문화 프로그램을 통해 가정생활의 안정을 도모합니다.","['가족센터', '가정', '도움', '지원', '가족교육', '가족상담', '생애주기별', '신혼기', '중년기', '노년기', '부부교육', '부모교육', '부부상담', '갈등해결', '부모-자녀상담', '이혼전후상담', '가족간갈등', '가족사랑의날', '행사', '전통문화체험교실', '건강가정캠페인', '가정생활', '안정', '가정환경개선', '가정통합지원', '지원내용', '가족교육', '가족상담', '가족문화프로그램', '내용구분', '대상', '가정생활도움', '도움필요', '유사어', '서비스', '지원기관', '도움제공', '보호기관', '가정복지', '전화번호', '연락처', '문의', '가족센터연감', '가정상담전화', '온라인신청', '신청방법', '가족넷사이트', '온라인지원', '인터넷접수']"
3,가족상담전화,기타지원_04.html,data/articles/기타지원_04.html,data/notags/기타지원_04.html,"['나는 한 부모로서 아이를 혼자 키우는 도중에 어려움을 겪고 있어요', '제 파트너와 저는 어떻게 자녀를 양육해야 할지에 대해 계속 논쟁하고 있어요', '최근에 직장을 잃어서 가족을 경제적으로 지원하는 데 어려움을 겪고 있어요', '요즘 제 기분이 매우 외로워지고 있는데, 비슷한 경험을 한 사람들과 소통하고 싶어요', '저는 임신한 상태이고, 전반적으로 불안하고 잘 모르는 상태인데요']","가족상담전화는 대상인 미혼모부, 한부모 등 모든 가족을 대상으로 하며, 임신 및 출산 갈등 상담, 양육비 이행확보지원, 한부모 가족 정책 및 지원서비스 정보제공, 가족 갈등 심리정서지원과 가족정책 정보제공 등의 다양한 내용을 다루고 있습니다. 전화상담, 온라인상담, 카카오톡 채널을 통해 문의할 수 있으며, 자세한 사항은 가족상담전화(☎1644-6621)로 문의하시기 바랍니다.","['가족상담전화', '가족상담', '미혼모부', '한부모', '심리지원', '정보제공', '임신 출산갈등상담', '임신갈등', '출산갈림길', '심리정서지원', '정보제공', '양육비상담', '양육비이행', '양육비지원', '양육비확보', '양육비정보', '한부모가족상담', '한부모가족정책', '한부모가족지원', '한부모정보', '지원서비스', '가족서비스상담', '가족갈등', '심리정서지원', '가족정책', '정보제공', '대상 미혼모부', '미혼모', '미혼모부 상담', '미혼모 지원', '심리지원', '대상 한부모', '한부모가족', '한부모기념일', '한부모지원', '한부모가족 정보', '전화상담', '전화상담 신청', '전화상담방법', '상담신청', '상담전화', '온라인상담', '온라인상담신청', '온라인상담방법', '온라인상담문의', '온라인상담센터', '카카오톡', '카카오톡 상담', '카카오톡 문의', '카카오톡 채팅상담', '카카오톡 상담방법']"
4,청소년한부모 등 자립지원패키지,기타지원_05.html,data/articles/기타지원_05.html,data/notags/기타지원_05.html,"['나는 혼자 아이를 양육하고 책임을 다루는데 어려움을 겪고 있어', '나는 제한된 자원을 가진 젊은 미혼 엄마이며 임신 및 출산 후 보호에 도움이 필요해', '나는 최근에 싱글 부모가 되어 안정된 집을 제공하기 위해 주거 지원이 필요해', '나는 젊은 싱글 어머니이며 아이를 경제적으로 지원하기 위해 취업 기회가 필요해', '젊은 싱글 부모로서 압도되는 느낌이 들어 상담이나 치료가 정말 필요해']","청소년한부모 및 미혼모·부의 양육·자립을 지원하기 위해 사례관리와 종합적인 서비스를 제공하는 자립지원패키지입니다. 가구 소득과 혼인여부 등에 따른 자격 요건이 있으며, 주거, 취업, 의료비 등 다양한 지원 사항을 포함합니다.","['청소년한부모', '청소년돌봄지원', '양육비지원', '주거지원', '취업지원', '자료관리', '미혼모·부', '임신출산비지원', '건강관리', '직업훈련', '정서지원', '자립지원패키지', '생활지원서비스', '자립지원서비스', '기타지원서비스', '정부서비스연계', '사례관리', '한부모가족복지시설', '미혼모', '생활지원', '자립지원', '서비스정보', '서비스연계', '필요한서비스', '임신출산의료비', '건강관리', '돌봄서비스', '양육용품', '병원비지원', '생활지원', '임신출산의료비지원', '건강관리서비스', '돌봄지원서비스', '양육서비스', '병원비지원', '자립지원', '주거지원서비스', '취업지원서비스', '직업훈련서비스', '양육비이행지원', '자산관리지원', '기타지원', '서비스정보안내', '지역사회자원활용', '자조모임지원', '자산관리', '정서지원', '상담', '전문심리치료', '멘토링', '자조모임지원', '자립성장', '무료상담지원', '양육비이행지원', '정부서비스연계', '임신출산의료비', '건강관리', '주거지원', '취업지원']"
5,한부모가족 아동 양육비 지원,기타지원_06.html,data/articles/기타지원_06.html,data/notags/기타지원_06.html,"['제가 아이를 양육하는 데 어려움을 겪고 있는 싱글 부모입니다', '최근에 일자리를 잃어서 아이의 교육비를 어떻게 마련할지 모르겠어요', '나이가 어린 싱글 부모로서 토들러를 키우는 경비에 도움이 필요해요', '장애 아이를 키우는 싱글 부모로서 추가 비용에 어려움을 겪고 있습니다', '사위로부터 지원받기 어려워 생계를 유지하면서 손주를 돌보는 것이 어렵습니다']",한부모가족 아동 양육비 지원은 기준 중위소득 60% 이하인 한부모가족과 조손가족을 대상으로 아동의 양육비와 교육비를 지원하는 서비스입니다.,"['한부모가족 아동 양육비 지원', '아동양육비 지원', '교육비 지원', '대상 소득인정액', '한부모가족증명서 발급', '만 18세 미만 아동', '취학 시 만 22세', '조손가족', '지원내용', '학용품비', '월 20만 원 지급', '생계급여', '내용', '문의 가족상담전화', '저소득 한부모가족', '복지로 온라인 신청', '주민센터 방문 신청', '거주지 관할', '복지서비스', '복지급여', '기준중위소득 60%이하', '소득기준 상향', '부자가족', '복지시설', '중학생 및 고등학생 아동', '연 9만 3,000원 지급', '생활보조금', '행정복지센터', '신청', '대상 소득인정액', '조건', '이해', '달라집니다.', '한부모가족 복지', '만 5세 이하 아동 추가 지급', '만 25세 이상 34세 이하 청년 한부모가족', '가족상담전화(☎1644-6621 ⇨ 2번)', '알려드립니다', '혜택', '한부모가족증명서 발급 대상', '소득기준', '변경', '복지로(www.bokjiro.go.kr) 온라인 신청', '요구서류', '생활보조금 월 5만 원 지급', '후생자금', '유지보수비', '대안', '연체하지 않는다.']"
6,한부모가족 자녀 교육비 지원,기타지원_07.html,data/articles/기타지원_07.html,data/notags/기타지원_07.html,"['내가 돈 많이 필요한 싱글 부모로서 아이의 교육비를 감당하는게 힘들어', '나의 노인 부모님은 혼자 살고 있어서 일상 생활에서 도움이 필요해', '최근에 일자리를 잃어서 월세를 낼 수가 없어', '나는 장애가 있어서 적합한 일자리 찾는데 도움이 필요해', '정신 건강 문제로 고민하는 대학생이고 상담이 필요해']","한부모가족 및 조손가족을 대상으로하여, 소득인정액이 중위소득 60% 이하이면서 만 18세 미만 아동을 양육하는 경우 고교생 자녀의 입학금 및 수업료를 전액 지원합니다.","['한부모가족', '조손가족', '무상교육지원', '교육비지원', '입학금지원', '수업료지원', '소득인정액', '중위소득', '양육보조금', '가정경제지원', '사회복지', '복지정책', '만 18세미만 아동', '자녀양육', '아동보육', '육아지원', '소득하위계층', '복지혜택', '고교생', '입학사업', '학생지원', '교육정책', '교육지원', '장학재단', '입학금', '등록금', '학비', '교육비', '고등학교입학', '중학교입학', '수업료', '수강료', '외부교육', '학습재활', '학습지원', '국민학습지원', '거주지 주민센터', '행정복지센터', '지원신청', '복지시스템', '주민지원', '복지금지원', '온라인 누리집', '교육비원클릭', '온라인신청', '복지로', '온라인서비스', '온라인상담', '교육비 중앙상담센터', '상담전화번호', '상담창구', '문의안내', '고객센터', '서비스문의', '교육비 지원 신청', '지원절차', '지원요건', '서류제출', '신청방법', '지원안내']"
7,한부모가족 주거 지원,기타지원_08.html,data/articles/기타지원_08.html,data/notags/기타지원_08.html,"['최근에 한 부모가 되어서 가족을 위한 저렴한 주택을 찾는데 어려움을 겪고 있어요', '저는 저소득 계층이고 집을 처음으로 소유한 적이 없어요', '좁은 예산으로 생활하는 한 부모이고, 지역의 높은 임대료를 감당할 수 없어요', '공공 주택 신청을 하려고 하는데 어떻게 시작해야 할지 잘 모르겠어요', '저는 주택 매입에 관심이 있지만, 저소득자로서 과정을 어떻게 진행해야 할지 안내가 필요해요']","한부모가족 주거 지원은 무주택 저소득 한부모가족을 대상으로 공공임대주택과 공동생활가정형(매입임대) 주거지원을 제공합니다. 국민임대주택, 행복주택 등 다양한 주거 형태로 우선순위 부여 및 저렴한 월세 주거를 지원하고 있습니다.","['한부모가족 주거', '대상 가구', '무주택 저소득', '공공임대주택', '공동생활가정형', '매입임대', '우선순위 부여', '국민임대주택', '행복주택', '저렴한 월세']"
8,한부모가족 복지시설 지원,기타지원_09.html,data/articles/기타지원_09.html,data/notags/기타지원_09.html,"['나는 아이를 부양하기 힘들어하는 싱글모이야', '나는 어린 아이와 함께 하는 싱글맘인데, 양육의 책임에 압도됐어요', '난 싱글 아빠인데 요새 일자리를 잃었어요', '딸이 감정적인 문제로 고통 받고 있어요', '나는 장애를 가진 싱글 부모이고, 아이의 요구를 충족시키기 힘들어해요']","한부모가족 복지시설은 기준 중위소득 100% 이하의 무주택 한부모가족을 대상으로 숙식 제공, 자립 및 심리치료 등 다양한 지원을 제공합니다. 가족의 양육 환경과 부모의 자립을 돕고, 아동의 발달에 힘쓰는 것이 목적입니다. 이를 통해 한부모가족들의 삶의 질을 향상시키고 복지를 지원합니다.","['한부모가족', '모자가족', '부자가족', '미혼모자가족', '무주택', '복지시설', '복지지원', '한부모가정', '지원제도', '아동양육', '중위소득', '소득인정액', '기준', '부모자립', '발달지원', '숙식제공', '주거제공', '생활환경', '복지도서관', '급식지원', '자립지원', '직업교육', '학습지원', '자금지원', '창업지원', '심리치료', '상담지원', '심리상담', '정서지원', '스트레스관리', '의료혜택', '의료비지원', '건강검진', '의료서비스', '보험지원', '시군구청', '지역사회', '지자체', '신청방법', '담당부서', '가족상담전화', '상담센터', '가정복지', '긴급요구', '문의처', '양육교육', '아동양육과정', '돌봄서비스', '교육지원', '문해력']"
9,양육비 이행지원 종합서비스,기타지원_10.html,data/articles/기타지원_10.html,data/notags/기타지원_10.html,"['제가 한 부모로서 아이의 경제적인 필요를 충족시키기가 어렵습니다', '노인 부모님이 최근에 돌아가셨고, 저는 동생들을 돌봐야하는 책임이 있어요', '저는 장애인으로, 적합한 일자리를 찾기 위해 지침과 지원이 필요합니다', '저는 가정 폭력의 피해자로서 가해자에 대한 영구 보호처분 수립을 도와달라고 도움이 필요합니다', '전 소득이 적어서 음식과 주거와 같은 기본 필요품을 어렵게 구할 수 있습니다']","양육비 이행지원 종합서비스는 이혼·미혼 한부모·조손 가족의 만 19세(취학 중인 경우 22세) 미만 자녀를 양육하는데 어려움을 겪고 있는 가정을 지원하기 위한 서비스입니다. 이 서비스는 양육비 관련 상담, 협의, 소송 및 추심, 이행 모니터링 등을 포함하는 맞춤형 종합 지원을 제공합니다. 한부모가 복잡한 절차와 비용으로부터 해방되어 자녀양육에 집중할 수 있도록 도와줍니다.","['양육비 이행지원 서비스', '양육비 이행기관', '이혼 가족 지원', '한부모 가정 지원', '자녀 양육 지원', '이혼 후 경제적 어려움', '종합지원 서비스', '자녀 양육 비용 지원', '상담 지원 서비스', '이혼 소송 지원', '양육비 추심 지원', '양육비 이행 모니터링', '양육비 집행 감독', '양육비 수급자 지원', '양육비 이행 상담', '경제적 어려움 해소', '한부모 가족 지원', '미혼 부모 지원', '조손 가정 지원', '양육비 협의 및 분쟁 해결', '맞춤형 서비스', '양육비 이행지원 기관', '양육비 이행 국 공 민  세 구분 없이 지원', '양육비 이행 관리원 신청', '자녀 양육 경제 문제', '장기간 미납 양육비', '자녀 양육비 이행', '양육비 수급 대상자', '양육비 이행 방법', '누적 미납 양육비', '대안 양육비', '양육비 이행사실 확인', '자동 출금 방식 이행', '방문 상담 예약', '양육비 이행도움말', '재산 조사', '양육비 추심 절차', '양육비 지출 증빙 자료 제출', '세입자 잔고 발주지시서 확인', '선조용 배당 결정', '추심명령 동의서 작성', '양육비 소송 지원', '이혼 소송 비용 줄이', '가격 합의', '상담 및 중재 절차 지원', '분쟁 해결', '양육비 이행 모니터링 참여', '양육비 정상적 이행 확인', '자녀 복지 현황 판단', '가정 방문 사후 처리', '본인 확인 및 검증']"
